episode,step,timestamp,seed,condition,state_hash,action,reward,score,towers,enemies_killed,health,llm_used,llm_prompt_id,llm_decision,env_version,agent_version,prompt_version
0,0,1758866894.1496823,42,elm_only,5d5d892b,110,12.0,0,1,0,100,0,,,1.0,1.0,N/A
0,1,1758866894.150176,42,elm_only,60c4f9da,110,12.0,0,2,0,100,0,,,1.0,1.0,N/A
0,2,1758866894.1506379,42,elm_only,b903ac06,110,12.0,0,3,0,100,0,,,1.0,1.0,N/A
0,3,1758866894.1510737,42,elm_only,2d6ca57b,110,14.0,0,4,0,100,0,,,1.0,1.0,N/A
0,4,1758866894.1515095,42,elm_only,a1fa1358,48,14.0,0,5,0,100,0,,,1.0,1.0,N/A
0,5,1758866894.1519284,42,elm_only,9ba4c8ad,48,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,6,1758866894.152377,42,elm_only,9ba4c8ad,87,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,7,1758866894.1528044,42,elm_only,9ba4c8ad,48,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,8,1758866894.1532478,42,elm_only,9ba4c8ad,48,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,9,1758866894.153731,42,elm_only,9ba4c8ad,48,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,10,1758866894.1547902,42,elm_only,9ba4c8ad,87,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,11,1758866894.1552844,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,12,1758866894.155732,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,13,1758866894.156192,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,14,1758866894.1566284,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,15,1758866894.1570663,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,16,1758866894.1575377,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,17,1758866894.1580112,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,18,1758866894.158495,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,19,1758866894.1589453,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,20,1758866894.159954,42,elm_only,9ba4c8ad,110,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
