episode,step,timestamp,seed,condition,state_hash,action,reward,score,towers,enemies_killed,health,llm_used,llm_prompt_id,llm_decision,env_version,agent_version,prompt_version
0,0,1758876759.4239054,42,elm_only,5d5d892b,66,12.0,0,1,0,100,0,,,1.0,1.0,N/A
0,1,1758876759.4246647,42,elm_only,9af4bead,66,12.0,0,2,0,100,0,,,1.0,1.0,N/A
0,2,1758876759.425166,42,elm_only,ef46516a,66,12.0,0,3,0,100,0,,,1.0,1.0,N/A
0,3,1758876759.425652,42,elm_only,37a07c84,82,14.0,0,4,0,100,0,,,1.0,1.0,N/A
0,4,1758876759.426109,42,elm_only,0c7ab5c3,66,14.0,0,5,0,100,0,,,1.0,1.0,N/A
0,5,1758876759.426594,42,elm_only,ce60098a,66,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,6,1758876759.4270496,42,elm_only,ce60098a,66,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,7,1758876759.42754,42,elm_only,ce60098a,66,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,8,1758876759.4280179,42,elm_only,ce60098a,66,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,9,1758876759.4284794,42,elm_only,ce60098a,66,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,10,1758876759.4301171,42,elm_only,ce60098a,66,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,11,1758876759.4306207,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,12,1758876759.4310617,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,13,1758876759.4316125,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,14,1758876759.4320545,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,15,1758876759.433196,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,16,1758876759.4336681,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,17,1758876759.434105,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,18,1758876759.4345493,42,elm_only,ce60098a,69,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,19,1758876759.434977,42,elm_only,ce60098a,24,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,20,1758876759.4427779,42,elm_only,ce60098a,53,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,21,1758876759.4433508,42,elm_only,ce60098a,76,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,22,1758876759.4438636,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,23,1758876759.4443057,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,24,1758876759.4447565,42,elm_only,ce60098a,47,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,25,1758876759.4452,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,26,1758876759.4456437,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,27,1758876759.44611,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,28,1758876759.4465914,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,29,1758876759.4471138,42,elm_only,ce60098a,103,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,30,1758876759.4504244,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,31,1758876759.4509614,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,32,1758876759.4514277,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,33,1758876759.4522579,42,elm_only,788c8239,7,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,34,1758876759.4527798,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,35,1758876759.4532645,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,36,1758876759.453747,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,37,1758876759.4541876,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
0,38,1758876759.4546435,42,elm_only,788c8239,82,-1.0,0,5,0,100,0,,,1.0,1.0,N/A
